I have been made aware that some of the information is not up-to-date. When this spreadsheet was in development, multiple major balancing updates came around and it was difficult to keep track of them. The affected cards will be updated soon. Thank you for understanding.												
Album	Collection	Name	Rarity	Energy Cost	Power	Power per Energy	Type	Ability	Card Model Number	CUE Card Release Schedule		
		Gigantoraptor	Legendary	2	28	14.0		Raptor-ous Applause - When played, if you won this turn, this card gains +30 Power for the rest of the game.	POM004			
		Pelecanimimus	Common	5	43	8.6						
		Ornithomimus	Common	5	43	8.6	Fusion Ingredient					
		Caudipteryx	Common	3	26	8.7		Shake Your Tail Feathers - When played with Peacock, give it +25 Power. 				
		Yangchuanosaurus	Common	6	52	8.7	Fusion Ingredient					
		Oviraptor	Legendary	4	40	10.0		Wrongly Accused - When played with Dinosaur Egg, give it +50 Power. 				
		Citipati	Common	6	39	6.5	Fusion Ingredient					
		Enteldont	Common	3	27	9.0	Fusion Ingredient	Pig Out - When played with Peccary Hog, give that card +35 Power. 				
		Amphicyon	Common	5	40	8.0		Bear Dog - When played with <b>Grizzly Bear</b>, give that card +40 Power. 				
	Palaeontology Mythic Cards	Unicorn	Mythic	8	77	9.6		Straight to the Point - When drawn, this card has +77 Power this turn. 				
	Palaeontology Holiday Specials	Dinosaur Eggs	Epic	2	18	9.0	Fusion Ingredient	Eggs In One Basket - When played with Egg Nebula, give that card +40 Power. 				
	Palaeontology Special Fusions	Jurassic Coast	Fusion	5	53	10.6		Fossil Bonanza - When drawn, give your Paleontology cards +30 Power until played. 				
Science	Awesome Aviation	The Wright Brothers	Rare	10	70	7.0		 Spirit of Collaboration - When drawn, your Science cards have +10 Power, until this card returns to your deck.        				
		Spitfire	Legendary	4	39	9.8	Limited Card	Dogfighter - When played, your Dogs cards have +20 Power this turn. 				
		Da Vinci's Aerial Screw	Common	10	74	7.4						
		Boeing 747	Common	7	47	6.7		Flight Path - When played, your Awesome Aviation cards have +10 Power this turn. 				
		The Hindenburg	Rare	7	90	12.9	Limited Card	Hubris - When played, if you lose the turn, reduce the Power of your remaining cards in hand by 10 for the rest of the game. 				
		B-2 Spirit	Common	2	16	8.0	Fusion Ingredient					
		Lift	Common	1	8	8.0						
		Thrust	Common	2	16	8.0						
		Drag	Common	3	27	9.0						
		Weight	Common	4	28	7.0		 Gravity's Pull - When drawn, lose 1 Energy/Turn for the remainder of this round. 				
		Spirit of St. Louis	Epic	5	60	12.0	Limited Card	Cross the Ocean - When played, all Oceans and Science cards have -15 Power this turn. 				
		Mach Speed	Epic	7	60	8.6	Limited Card	Speed of Sound - When played on a matching Arena, this card has +60 Power. 				
		Amelia Earhart	Legendary	7	65	9.3	Fusion Ingredient	 The Legend Lives On - When played, receive +2 Power/Turn until game end. 				
		Concorde	Epic	9	70	7.8	Fusion Ingredient	 Breaking the Barries - When played, If you're winning the round, this card gains +20 Power. 				
		Wright Flyer	Fusion	8	72	9.0		 First Flight - When played on the first turn of a round, gain +5 Energy next turn. 				
	Climate Consequences	Melting Ice Caps	Epic	9	74	8.2						
		Drought	Common	2	18	9.0						
		Forest Fires	Common	3	25	8.3						
		Rising Sea Levels	Common	7	50	7.1						
		Rising Temperature	Common	3	64	21.3						
		Acid Rain	Common	6	43	7.2						
	Energy	Solar Power	Common	10	70	7.0						
		The Hoover Dam	Epic	3	21	7.0	Fusion Ingredient	Hold Back the Water - When played, your opponent's Oceans and Seas cards have -15 Power this turn.        				
		Offshore Oil Platform	Common	6	46	7.7						
		Tidal Energy	Common	6	57	9.5		 Under the Waves - When drawn, receive +2 Energy. 				
		Biomass	Common	9	66	7.3	Fusion Ingredient					
		Coal	Common	4	29	7.3	Fusion Ingredient					
		Natural Gas	Common	6	51	8.5						
		Wind Power	Legendary	7	21	3.0		 Blowin' in the Wind - When drawn, receive +6 Energy.        				
		Hydrogen Fuel Cells	Common	8	53	6.6						
		Nuclear Power	Rare	5	10	2.0		 Power of the Atom - When played, receive +1 Energy per turn for the rest of the game. 				
		Geothermal Energy	Rare	4	35	8.8	Fusion Ingredient	Heating Up - When returned to your deck, give both players +4 Energy. 				
		Waste-to-Energy	Common	7	65	9.3						
		Three Gorges Dam	Epic	7	57	8.1	Limited Card	About Dam Time - When returned to your deck, gain +2 Energy per turn for the rest of the round. 				
		Oilsands	Rare	5	39	7.8	Limited Card	Fossil Fuel - When drawn, reduce the Energy cost of Paleontology cards in your hand by 1 for the rest of the game.        				
		Fusion Power	Fusion	8	83	10.4		Power of the Sun - When played with The Sun, give that card +70 Power. 				
		Alessandro Volta	Common	3	30	10.0		Turn Up the Power - When played with André-Marie Ampère, give that card +30 Power.				
		André-Marie Ampère	Common	3	30	10.0		Turn Up the Power - When played with James Watt, give it +30 Power.				
		James Watt	Epic	2	25	12.5		Turn Up the Power - When played with Alessandro Volta, give it +35 Power.				
		Algae	Rare	4	24	6.0	Fusion Ingredient	Green Energy - When drawn, your Life on Land cards cost 1 Energy less this turn.				
	Excellent Elements	Aluminium	Common	1	11	11.0						
		Oxygen	Rare	4	30	7.5		Deep Breath - When played, your Oceans and Seas cards have +7 Power this turn and next turn. 				
		Zinc	Common	2	18	9.0						
		Chlorine	Common	9	65	7.2						
		Helium	Common	5	36	7.2		What a Gas! - When played, your Excellent Elements cards have +5 Power for this turn and next turn.        				
		Sodium	Common	6	34	5.7	Fusion Ingredient	Salt in the Wound - When played, if you win the turn, steal 1 Energy from your opponent! 				
		Silicon	Epic	6	52	8.7	Limited Card	Chip off the Old Block - When played, your Science cards have +15 Power this turn. 				
		Iron	Rare	3	40	13.3	Limited Card	Forged in Flame - When played with Jewel Beetle, give that card +30 Power. 				
		Gold	Legendary	7	70	10.0	Fusion Ingredient	Always Believe in Your Soul - When played on a matching Arena, this card has +50 Power. 				
		Sulphur	Common	1	9	9.0	Fusion Ingredient					
		Titanium	Fusion	3	30	10.0		Toughen Up - When played, If you are losing the round gain +8 Power per Turn for the rest of the game. 				
	Forces of Nature	Tornado	Common	6	44	7.3		 Sharknado! - When drawn, your Shark cards have +15 Power this turn. 				
		Clouds	Common	1	10	10.0						
		Dust Storm	Common	3	24	8.0		 Wall of Dust - When played, your opponent takes -3 Power/Turn for the rest of this round. 				
		Rain	Common	2	18	9.0						
		Thunderstorms	Legendary	7	30	4.3		 Energy Release - When played, receive +1 Energy/Turn for the remainder of the Game. 				
		Avalanche	Rare	7	58	8.3	Fusion Ingredient	 Heavy Snow - When played with Weight, give that card +30 Power. 				
		Rainbow	Common	4	34	8.5						
		Blizzard	Rare	1	1	1.0		 Snow Blind - When played, your Opponent has -1 Energy/Turn for the rest of this round. 				
		Sunshine	Common	6	51	8.5	Fusion Ingredient					
		Frost	Common	7	52	7.4	Fusion Ingredient					
		Hail	Common	1	9	9.0	Fusion Ingredient					
		Fog	Common	10	74	7.4						
		Earthquakes	Common	4	32	8.0	Fusion Ingredient					
		Tsunami	Epic	8	65	8.1	Fusion Ingredient	Ride the Tide - When played with Tidal Energy, give that card +25 Power. 				
		Aurora Borealis	Fusion	3	33	11.0		Trick of the Lights - When returned to your deck, gain +5 Power per turn until game end. 				
	Ingenious Inventions	The Wheel	Rare	4	8	2.0	Limited Card	Roll With It - When drawn, give your cards in hand +10 Power until they're played.				
		Optical Lenses	Common	5	46	9.2	Limited Card	Clarity of Vision - When this card returns to your deck, give Galileo Galilei +15 Power until played.				
		Printing Press	Epic	3	34	11.3	Limited Card	Stop the Presses! - When drawn, give Paper +30 Power for the rest of the game.				
		Paper	Common	6	0	0.0	Limited Card	Blank Page - Use other cards to improve this card.				
	Marvellous Medicine	X-Rays	Common	9	73	8.1	Limited Card					
		Penicillin	Rare	4	36	9.0	Limited Card	Growing Cultures - When played, your History cards have +30 Power this turn. 				
		Vaccination	Common	6	52	8.7	Limited Card					
		Organ Transplantation	Common	3	25	8.3	Limited Card					
		Germ Theory	Epic	3	25	8.3	Limited Card	In Good Health - When drawn, your cards have +15 Power this turn. 				
		Anaesthesia	Common	4	65	16.3	Limited Card	Going Under - When played, if you lose the turn, cards left in your hand cost 2 more Energy next turn. 				
		Defibrillator	Common	6	49	8.2	Limited Card	Resuscitate - When returned to your deck, if you are losing the round, gain +3 Energy. 				
		MRI Scanner	Legendary	7	42	6.0	Limited Card	Scanning, for Science! - When drawn, your Science cards cost 2 less Energy until played. 				
	Mega Math	Pi	Epic	3	14	4.7	Fusion Ingredient	 Slice of Pi - When played, this card has +20 Power. 				
		Playing Cards	Common	1	1	1.0		 Ace Up Your Sleeve - When played, if you are are losing the round, your cards have +10 Power this turn. 				
		Abacus	Common	5	42	8.4						
		Zero	Rare	0	0	0.0		 Nothing - When played, give this card +0 Power. 				
		Fibonacci Spiral	Rare	3	33	11.0		 Spiralling - When played, all cards have -10 Power this turn. 				
		Seven Bridges of Königsberg	Common	7	57	8.1	Fusion Ingredient					
		Algebra	Common	4	26	6.5						
		Fermat's Last Theorem	Common	4	35	8.8						
		Pythagoras' Theorem	Common	4	34	8.5						
		Trigonometry	Common	3	27	9.0	Fusion Ingredient	 Pyramid Scheme - When played with The Pyramids, give that card +20 Power. 				
		Kaprekar's Constant	Common	8	53	6.6						
		The Monty Hall Problem	Common	7	50	7.1						
		Archimedes	Rare	5	42	8.4	Limited Card	Ahead of His TIme - When drawn, you have +42 Power this turn. 				
		Leonhard Euler	Legendary	5	52	10.4	Limited Card	Private Function - When returned to your deck, if you are losing the round, gain +5 Energy. 				
		Calculus	Fusion	1	19	19.0		Constant Change - When returned to your deck, gain +5 Power/Turn until game end. 				
	Philosophers	Aristotle	Fusion	3	0	0.0		The Golden Mean - When played, if the Round is tied, gain +30 Power per turn until end of the round.        				
		Plato	Rare	6	27	4.5	Fusion Ingredient	Pass Wisdom - When played with Aristotle, give that card +40 Power. 				
		Confucius	Rare	5	36	7.2	Fusion Ingredient	Go With All Your Heart - When returned to your deck, gain +20 Power/Turn for the rest of the round. 				
		Immanuel Kant	Rare	3	10	3.3	Fusion Ingredient					
		Friedrich Nietzsche	Epic	5	30	6.0	Limited Card	Thus Spoke Zarathustra - When returned to your deck, gain +3 Energy/Turn for the rest of the round. 				
	Pioneers of Science	Ada Lovelace	Common	2	16	8.0	Fusion Ingredient	Logic Bomb - When played, your Opponent's Science cards have -10 Power this turn. 				
		Michael Faraday	Common	3	30	10.0		Magnetic Personality - When played with Magnetar, give that card +50 Power. 				
		Louis Pasteur	Rare	6	48	8.0		Spilled Milk - When played, if you win the turn, gain +2 Energy/Turn for the rest of the round. 				
		Galileo Galilei	Common	3	26	8.7		Magnifico! - When played, your Constellations cards have +15 Power this turn. 				
		Nicolaus Copernicus	Common	5	45	9.0		Planetary Revolution - When played, your Solar System cards have +15 Power this turn. 				
		Marie Curie	Epic	5	50	10.0		Nuclear Age - When drawn, Nuclear Power costs 5 less Energy this turn. 				
		Sir Isaac Newton	Rare	6	53	8.8	Fusion Ingredient	The Gravity of the Situation - When played with Black Hole, give that card +30 Power. 				
		Alan Turing	Common	5	47	9.4	Fusion Ingredient					
		Thomas Edison	Epic	5	50	10.0	Limited Card	Current Affairs - When drawn, your Energy cards have +25 Power this turn.        				
		Nikola Tesla	Epic	6	60	10.0	Limited Card	Current Affairs - When drawn, your Energy cards cost 3 less Energy this turn. 				
		Charles Darwin	Legendary	8	70	8.8		Natural Selection - When played, all Life on Land cards have -30 Power this turn. 				
		Niels Bohr	Rare	4	32	8.0		Up and Atom - When played, your Excellent Elements cards have +25 Power this turn.        				
		Alexander Graham Bell	Common	2	18	9.0						
		Albert Einstein	Fusion	5	35	7.0		Relatively Incredible - When drawn, your Science cards have +35 Power this turn. 				
	Science Mythic Cards	The God Particle	Mythic	3	38	12.7		Mass Gathering - When played, your Excellent Elements cards have +60 Power this turn. 				
	Science Special Fusions	Red Diamond	Fusion	5	35	7.0		Beauty Under Pressure - When this goes back into your deck, if you are losing the round, gain +100 Power next turn. 				
	Super Structures	Sydney Harbour Bridge	Common	9	66	7.3	Fusion Ingredient					
		Chrysler Building	Common	8	57	7.1						
		Lotus Temple	Legendary	8	62	7.8	Level-Up Reward	 Oneness of Religion - When played, give all cards +25 Power this turn.				
		Fallingwater	Common	4	33	8.3						
		Gateway Arch	Rare	1	16	16.0		 Arch Enemy - When played, your Opponent's cards have +5 Power this turn.				
		Torre Glòries	Common	8	56	7.0	Fusion Ingredient					
		The Leaning Tower of Pisa	Common	9	66	7.3						
		Louvre Pyramid	Common	3	25	8.3	Fusion Ingredient	 Pyramid Scheme - When played with Trigonomitry, give that card +20 Power.		Card Breakdown		
		Empire State Building	Common	1	8	8.0				Rarity	Amount	New Card XP Reward
		Burj Al Arab	Rare	2	18	9.0		 Pride of Dubai - When played with Burj Khalifa, give that card +15 Power.		Common	400	50
		Dancing House	Common	7	48	6.9				Rare	119	75
		20 Fenchurch	Common	9	67	7.4		 London Calling - When played with The Shard, give that card +20 Power.		Epic	95	150
		Burj Khalifa	Fusion	6	100	16.7		 Share the Wealth - When returned to your deck, your Opponent has +2 Energy next turn.		Legendary	67	300
		The Shard	Common	4	25	6.3				Fusion	43	1000
		Golden Gate Bridge	Epic	8	50	6.3		Something - If losing the round when played get +1 Energy/Turn for the rest of the Game		Mythic	8	1000
Turn back, traveller! The Universe is infinite! The CUE Database is not.												
